,Unnamed: 0,Prot,bp_rp,abs_G,source_id,ruwe,survey
21602,158207,16.887,1.062974,4.806141598215904,2052355280662920576,1.0242395,Kepler
21603,158208,32.163,1.1075602,4.996311644765724,2052446162170199424,1.0416951,Kepler
21604,158209,10.024,1.1961746,6.272493319726035,2052390121435506048,0.9757011,Kepler
21605,158210,41.516,0.7910347,2.8974479986532664,2052410423734454400,0.87298244,Kepler
21606,158211,0.883,1.0306311,5.326179154666361,2052224473141305728,1.0860963,Kepler
21607,158212,2.269,0.7005768,2.6732232359834107,2073194152753157760,0.9793391,Kepler
21608,158213,1.679,0.7118912,1.7284862117783923,2073190373182007168,0.94648814,Kepler
21609,158214,21.27,1.1653528,6.1078032495678976,2073181783247239424,1.1296592,Kepler
21610,158215,11.824,0.8721056,4.46124642331751,2100313847554198400,0.9517382,Kepler
21611,158216,32.827,1.3155174,6.436959371758967,2100442078097595008,1.0077261,Kepler
21612,158217,3.234,0.71589375,1.7453829801977143,2100398235071528448,0.8503608,Kepler
21613,158218,7.545,0.8208809,3.4411013038633893,2100397719675511680,1.0045813,Kepler
21614,158219,13.809,1.2022238,6.236104408502637,2099656644541165312,1.0167909,Kepler
21615,158220,17.385,1.4039402,6.802593104570068,2099737531663355008,1.0408759,Kepler
21616,158221,53.116,0.83736134,3.5321676042603336,2099706573538987776,0.98163766,Kepler
21617,158222,9.477,0.7493334,2.7740127203807265,2100961803502952832,1.0342098,Kepler
21618,158223,21.281,1.2440643,6.199119423952062,2052967433756813184,0.96016264,Kepler
21619,158224,1.293,0.7111616,1.4746971510570717,2052967880433474048,0.906509,Kepler
21620,158225,12.22,1.2044764,6.177996394454372,2052977741678495616,0.99127704,Kepler
21621,158226,29.16,1.3529634,6.945279608099032,2052976917044950016,0.9876751,Kepler
21622,158227,18.272,1.1660309,6.079845679246102,2052975817533322880,0.9718658,Kepler
21623,158228,13.064,1.0491915,5.776697126997881,2052793298604658688,1.0100904,Kepler
21624,158229,6.235,0.89183235,4.577541525526094,2053154350735536896,1.060208,Kepler
21625,158230,0.72,0.80320454,3.4705093517732344,2052368096845316096,1.0114049,Kepler
21626,158231,15.524,1.3187037,5.7964790136894,2052450457137453440,1.0031314,Kepler
21627,158232,1.416,0.59723186,0.7354813837057961,2052448292474087296,1.0907303,Kepler
21628,158233,42.226,1.3163128,6.355584235654657,2100260005844372608,0.9678167,Kepler
