 source_id mh_xgboost BP-G Prot
474 2052069094099701632 0.028 0.417899 17.719
475 2052069442000390528 0.207 0.523783 34.083
476 2052069682518677888 0.132 0.302341 4.409
477 2052070369713335808 -0.132 0.56886 6.174
478 2052070434133277696 0.034 0.239061 0.965
479 2052070575871730176 -0.137 0.465401 14.528
480 2052071022548475648 0.26 0.457358 25.332
481 2052071331785826304 -0.257 0.594046 27.574
482 2052072018980704640 -0.297 0.476999 16.321
483 2052072122059933696 -0.039 0.535545 18.172
484 2052073560865812096 -0.599 0.319921 48.121
485 2052073633888470784 -0.169 0.275357 0.824
486 2052074321083345152 -0.275 0.451951 26.361
487 2052074630320868224 -0.072 0.328937 0.709
488 2052084525925354880 -0.097 0.474953 6.879
489 2052084835163028864 -0.008 0.880246 18.572
490 2052085419278627200 -0.205 0.481197 21.067
491 2052085453638387456 0.077 0.303379 2.203
492 2052086106473610752 0.039 0.541794 24.172
493 2052086346991622912 -0.04 0.427176 7.931
494 2052087824460391936 -0.204 0.518697 31.216
495 2052089027051104128 -0.44 0.467259 9.005
496 2052090882477048192 -0.069 0.408609 7.469
497 2052091432232942208 -0.073 0.499785 22.636
498 2052091569671926528 -0.015 0.429665 27.881
499 2052092497384815872 -0.023 0.444564 39.476
500 2052092772262781440 0.21 0.555095 10.267
501 2052101430915326976 -0.135 0.292583 3.188
502 2052106928473581184 -0.142 0.388326 8.932
503 2052108818259273600 -0.477 0.44527 4.898
504 2052108921338505728 0.009 0.397377 16.998
505 2052110192648801920 -0.056 0.784593 12.228
506 2052110364447798912 -0.048 0.350807 12.313
507 2052112494750959488 -0.068 0.476505 21.135
508 2052112907067847808 0.161 0.615634 18.995
509 2052113285025079296 0.057 0.433259 22.936
510 2052113319384797056 0.0 0.473006 17.314
511 2052113594263044096 0.073 0.298731 7.99
512 2052113937860117120 -0.11 0.388154 15.994
513 2052114556335703936 0.139 0.325429 0.96
514 2052114796853907968 0.09 0.343958 10.258
515 2052114899932826368 0.041 0.491707 15.75
516 2052115003012347264 0.009 0.364309 27.483
517 2052115449688863360 -0.289 0.415529 0.852
518 2052115655847282176 0.088 0.496988 19.965
519 2052116995877109376 0.238 0.439982 12.579
520 2052117064596583808 -0.036 0.55133 26.258
521 2052117305114743808 -0.124 0.927515 30.062
522 2052117506965935744 0.055 0.364171 55.886
523 2052117854870585984 0.106 0.436253 23.683
524 2052118743916856960 -0.018 0.317453 8.084
525 2052119779015990400 -0.072 0.639323 30.835
526 2052119882094947200 0.071 0.4059 12.75
527 2052120328771558528 0.225 0.494062 30.058
528 2052122630874426496 -0.105 0.303112 5.702
529 2052122837032827648 -0.043 0.349969 21.746
530 2052123764745777536 -0.042 0.313374 7.775
531 2052124864257324800 -0.099 0.408175 5.488
532 2052125001696254592 -0.018 0.4616 22.48
533 2052125379653364608 0.14 0.316315 4.741
534 2052125414013098880 -0.297 0.587187 13.607
535 2052125860689724160 0.025 0.671538 39.212
536 2052127166359869824 0.026 0.363853 11.541
537 2052128368950720896 -0.118 0.354803 9.155
538 2052128472029944320 0.099 0.512906 13.751
539 2052129949498957824 -0.207 0.484909 8.47
540 2052130151348641664 -0.406 0.320338 12.877
541 2052130499254804480 0.088 0.472063 31.611
542 2052130533614550400 0.156 0.375015 9.808
543 2052130945931462528 -0.317 0.410355 20.859
544 2052131976723613312 0.094 0.809011 31.247
545 2052132011083345536 -0.009 0.288527 4.825
546 2052132663918399232 0.243 0.556775 22.967
547 2052134038307823872 0.133 0.422128 0.409
548 2052134141387273216 -0.281 0.563511 25.925
549 2052134381905428864 -0.109 0.367685 18.346
550 2052135721935363072 -0.124 0.563287 28.417
551 2052137199404156160 -0.131 0.361683 13.408
552 2052137474281810944 0.127 0.364381 6.092
553 2052137920958413696 0.134 0.608889 26.205
554 2052138814311909376 -0.193 0.458804 65.846
555 2052139157909003520 -0.153 0.439797 8.912
556 2052139776384667264 -0.136 0.368744 3.787
557 2052140154341445632 -0.157 0.259224 2.058
558 2052141494371649536 0.144 0.467831 27.938
559 2052142112846782208 -0.404 0.504486 3.787
560 2052142662602653824 0.042 0.38901 26.626
561 2052142761375835520 -0.239 0.29073 2.649
562 2052143006199984768 0.113 0.428991 17.608
563 2052143384157151616 -0.267 0.4215 16.309
564 2052143452876630400 -0.021 0.495442 11.978
565 2052143521596135808 0.106 0.386798 7.528
566 2052143762114281088 0.071 0.355985 5.271
567 2052143830833765248 0.204 0.442205 17.227
568 2052144140071493760 0.11 0.472753 3.351
